red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
20.29,20.29,20.29,21.41,20.29,20.29,20.29,21.41,20.29,20.29,20.29,20.29,21.41,20.29,20.29,21.41,20.29,20.29,20.29,20.29
50.71,49.59,50.71,50.71,50.71,50.71,50.71,51.84,51.84,51.84,50.71,50.71,50.71,50.71,50.71,49.59,49.59,48.46,49.59,48.46
31.56,33.81,37.19,38.32,37.19,36.06,37.19,37.19,38.32,38.32,37.19,39.44,38.32,39.44,39.44,39.44,39.44,39.44,39.44,40.57
41.7,42.83,42.83,42.83,43.95,45.08,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21
45.08,58.6,58.6,50.71,60.86,69.87,63.11,55.22,54.09,55.22,55.22,56.35,55.22,55.22,71,68.75,64.24,69.87,72.13,65.36
185.95,189.33,187.08,193.84,196.09,200.6,192.71,199.47,199.47,200.6,205.11,207.36,205.11,200.6,202.86,205.11,203.98,203.98,206.24,206.24
69.87,69.87,71,73.25,74.38,73.25,72.13,72.13,72.13,72.13,71,71,71,69.87,68.75,68.75,71,71,71,71
30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3
22.54,24.79,23.67,27.05,27.05,24.79,25.92,25.92,27.05,25.92,27.05,25.92,27.05,27.05,27.05,27.05,25.92,27.05,28.17,27.05
59.73,58.6,58.6,58.6,59.73,59.73,59.73,58.6,59.73,59.73,59.73,59.73,58.6,58.6,58.6,58.6,59.73,58.6,58.6,58.6
41.7,42.83,42.83,42.83,43.95,45.08,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21
101.43,114.95,113.82,114.95,119.46,108.19,111.57,120.59,120.59,137.49,145.38,145.38,145.38,142,140.87,149.89,154.4,156.65,155.52,160.03
30.43,31.56,31.56,32.68,32.68,32.68,32.68,29.3,32.68,32.68,31.56,29.3,29.3,31.56,31.56,31.56,31.56,31.56,32.68,32.68
76.63,76.63,76.63,77.76,77.76,77.76,77.76,78.89,78.89,78.89,78.89,80.02,78.89,78.89,80.02,80.02,81.14,81.14,81.14,81.14
64.24,64.24,64.24,63.11,63.11,61.98,63.11,58.6,60.86,63.11,60.86,63.11,63.11,58.6,63.11,61.98,63.11,57.48,64.24,63.11
75.51,76.63,77.76,80.02,75.51,68.75,73.25,73.25,72.13,73.25,72.13,74.38,73.25,74.38,75.51,71,75.51,75.51,76.63,75.51
